colegio_id,codigo,nombre,descripcion,nivel,grado,horas_semanales,es_area_desarrollo,es_especialidad,es_tecnica,mencion,activo
"1,INI-FPS,""Formación Personal, Social y Comunicación"",""Área de desarrollo integral"",INICIAL,""Preescolar"",0,1,0,0,,1"
"1,INI-RCA,""Relación entre los Componentes del Ambiente"",""Área de desarrollo integral"",INICIAL,""Preescolar"",0,1,0,0,,1"
"1,PRI-LCC1,""Lenguaje, Comunicación y Cultura"","""",PRIMARIA,""1ro"",5,0,0,0,,1"
"1,PRI-MAT1,""Matemática"","""",PRIMARIA,""1ro"",5,0,0,0,,1"
"1,PRI-CNS1,""Ciencias Naturales y Sociedad"","""",PRIMARIA,""1ro"",4,0,0,0,,1"
"1,PRI-CSC1,""Ciencias Sociales, Ciudadanía e Identidad"","""",PRIMARIA,""1ro"",4,0,0,0,,1"
"1,PRI-EDF1,""Educación Física, Deportes y Recreación"","""",PRIMARIA,""1ro"",2,0,1,0,,1"
"1,PRI-EST1,""Educación Estética"","""",PRIMARIA,""1ro"",2,0,0,0,,1"
"1,PRI-LCC2,""Lenguaje, Comunicación y Cultura"","""",PRIMARIA,""2do"",5,0,0,0,,1"
"1,PRI-MAT2,""Matemática"","""",PRIMARIA,""2do"",5,0,0,0,,1"
"1,PRI-CNS2,""Ciencias Naturales y Sociedad"","""",PRIMARIA,""2do"",4,0,0,0,,1"
"1,PRI-CSC2,""Ciencias Sociales, Ciudadanía e Identidad"","""",PRIMARIA,""2do"",4,0,0,0,,1"
"1,PRI-EDF2,""Educación Física, Deportes y Recreación"","""",PRIMARIA,""2do"",2,0,1,0,,1"
"1,PRI-EST2,""Educación Estética"","""",PRIMARIA,""2do"",2,0,0,0,,1"
"1,PRI-LCC3,""Lenguaje, Comunicación y Cultura"","""",PRIMARIA,""3ro"",5,0,0,0,,1"
"1,PRI-MAT3,""Matemática"","""",PRIMARIA,""3ro"",5,0,0,0,,1"
"1,PRI-CNS3,""Ciencias Naturales y Sociedad"","""",PRIMARIA,""3ro"",4,0,0,0,,1"
"1,PRI-CSC3,""Ciencias Sociales, Ciudadanía e Identidad"","""",PRIMARIA,""3ro"",4,0,0,0,,1"
"1,PRI-EDF3,""Educación Física, Deportes y Recreación"","""",PRIMARIA,""3ro"",2,0,1,0,,1"
"1,PRI-EST3,""Educación Estética"","""",PRIMARIA,""3ro"",2,0,0,0,,1"
"1,PRI-LCC4,""Lenguaje, Comunicación y Cultura"","""",PRIMARIA,""4to"",5,0,0,0,,1"
"1,PRI-MAT4,""Matemática"","""",PRIMARIA,""4to"",5,0,0,0,,1"
"1,PRI-CNS4,""Ciencias Naturales y Sociedad"","""",PRIMARIA,""4to"",4,0,0,0,,1"
"1,PRI-CSC4,""Ciencias Sociales, Ciudadanía e Identidad"","""",PRIMARIA,""4to"",4,0,0,0,,1"
"1,PRI-EDF4,""Educación Física, Deportes y Recreación"","""",PRIMARIA,""4to"",2,0,1,0,,1"
"1,PRI-EST4,""Educación Estética"","""",PRIMARIA,""4to"",2,0,0,0,,1"
"1,PRI-LCC5,""Lenguaje, Comunicación y Cultura"","""",PRIMARIA,""5to"",5,0,0,0,,1"
"1,PRI-MAT5,""Matemática"","""",PRIMARIA,""5to"",5,0,0,0,,1"
"1,PRI-CNS5,""Ciencias Naturales y Sociedad"","""",PRIMARIA,""5to"",4,0,0,0,,1"
"1,PRI-CSC5,""Ciencias Sociales, Ciudadanía e Identidad"","""",PRIMARIA,""5to"",4,0,0,0,,1"
"1,PRI-EDF5,""Educación Física, Deportes y Recreación"","""",PRIMARIA,""5to"",2,0,1,0,,1"
"1,PRI-EST5,""Educación Estética"","""",PRIMARIA,""5to"",2,0,0,0,,1"
"1,PRI-LCC6,""Lenguaje, Comunicación y Cultura"","""",PRIMARIA,""6to"",5,0,0,0,,1"
"1,PRI-MAT6,""Matemática"","""",PRIMARIA,""6to"",5,0,0,0,,1"
"1,PRI-CNS6,""Ciencias Naturales y Sociedad"","""",PRIMARIA,""6to"",4,0,0,0,,1"
"1,PRI-CSC6,""Ciencias Sociales, Ciudadanía e Identidad"","""",PRIMARIA,""6to"",4,0,0,0,,1"
"1,PRI-EDF6,""Educación Física, Deportes y Recreación"","""",PRIMARIA,""6to"",2,0,1,0,,1"
"1,PRI-EST6,""Educación Estética"","""",PRIMARIA,""6to"",2,0,0,0,,1"
"1,MG-CAS1,""Castellano"","""",MEDIA_GENERAL,""1er Año"",4,0,0,0,,1"
"1,MG-ING1,""Lenguas Extranjeras (Inglés)"","""",MEDIA_GENERAL,""1er Año"",4,0,0,0,,1"
"1,MG-MAT1,""Matemática"","""",MEDIA_GENERAL,""1er Año"",4,0,0,0,,1"
"1,MG-CCN1,""Ciencias Naturales"","""",MEDIA_GENERAL,""1er Año"",4,0,0,0,,1"
"1,MG-AYP1,""Arte y Patrimonio"","""",MEDIA_GENERAL,""1er Año"",2,0,0,0,,1"
"1,MG-EDF1,""Educación Física y Deporte"","""",MEDIA_GENERAL,""1er Año"",3,0,0,0,,1"
"1,MG-GHC1,""Geografía, Historia y Ciudadanía"","""",MEDIA_GENERAL,""1er Año"",4,0,0,0,,1"
"1,MG-OYC1,""Orientación y Convivencia"","""",MEDIA_GENERAL,""1er Año"",2,0,0,0,,1"
"1,MG-GCR1,""Grupos de Creación, Recreación y Producción"","""",MEDIA_GENERAL,""1er Año"",2,0,0,0,,1"
"1,MG-CAS2,""Castellano"","""",MEDIA_GENERAL,""2do Año"",4,0,0,0,,1"
"1,MG-ING2,""Lenguas Extranjeras (Inglés)"","""",MEDIA_GENERAL,""2do Año"",4,0,0,0,,1"
"1,MG-MAT2,""Matemática"","""",MEDIA_GENERAL,""2do Año"",4,0,0,0,,1"
"1,MG-CCN2,""Ciencias Naturales"","""",MEDIA_GENERAL,""2do Año"",4,0,0,0,,1"
"1,MG-AYP2,""Arte y Patrimonio"","""",MEDIA_GENERAL,""2do Año"",2,0,0,0,,1"
"1,MG-EDF2,""Educación Física y Deporte"","""",MEDIA_GENERAL,""2do Año"",3,0,0,0,,1"
"1,MG-GHC2,""Geografía, Historia y Ciudadanía"","""",MEDIA_GENERAL,""2do Año"",4,0,0,0,,1"
"1,MG-OYC2,""Orientación y Convivencia"","""",MEDIA_GENERAL,""2do Año"",2,0,0,0,,1"
"1,MG-GCR2,""Grupos de Creación, Recreación y Producción"","""",MEDIA_GENERAL,""2do Año"",2,0,0,0,,1"
"1,MG-CAS3,""Castellano"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-ING3,""Lenguas Extranjeras (Inglés)"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-MAT3,""Matemática"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-BIO3,""Biología"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-FIS3,""Física"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-QUI3,""Química"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-EDF3,""Educación Física y Deporte"","""",MEDIA_GENERAL,""3er Año"",3,0,0,0,,1"
"1,MG-GHC3,""Geografía, Historia y Ciudadanía"","""",MEDIA_GENERAL,""3er Año"",4,0,0,0,,1"
"1,MG-OYC3,""Orientación y Convivencia"","""",MEDIA_GENERAL,""3er Año"",2,0,0,0,,1"
"1,MG-GCR3,""Grupos de Creación, Recreación y Producción"","""",MEDIA_GENERAL,""3er Año"",2,0,0,0,,1"
"1,MG-CAS4,""Castellano"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-ING4,""Lenguas Extranjeras (Inglés)"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-MAT4,""Matemática"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-BIO4,""Biología"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-FIS4,""Física"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-QUI4,""Química"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-EDF4,""Educación Física y Deporte"","""",MEDIA_GENERAL,""4to Año"",3,0,0,0,,1"
"1,MG-GHC4,""Geografía, Historia y Ciudadanía"","""",MEDIA_GENERAL,""4to Año"",4,0,0,0,,1"
"1,MG-FSN4,""Formación para la Soberanía Nacional"",""Premilitar"",MEDIA_GENERAL,""4to Año"",2,0,0,0,,1"
"1,MG-OYC4,""Orientación y Convivencia"","""",MEDIA_GENERAL,""4to Año"",2,0,0,0,,1"
"1,MG-GCR4,""Grupos de Creación, Recreación y Producción"","""",MEDIA_GENERAL,""4to Año"",2,0,0,0,,1"
"1,MG-CAS5,""Castellano"","""",MEDIA_GENERAL,""5to Año"",4,0,0,0,,1"
